"NUM";"TITLE";"genre"
232;"철권7 DLC16 「쿠니미츠」 (한국어판)";"유니크"
233;"철권7 DLC17 「VERMILION GATE」 (한국어판)";"격투"
234;"철권7 DLC17 「VERMILION GATE」 (한국어판)";"액션"
235;"철권7 DLC17 「VERMILION GATE」 (한국어판)";"유니크"
236;"철권7 DLC18 「리디아 소비에스카」 (한국어판)";"격투"
237;"철권7 DLC18 「리디아 소비에스카」 (한국어판)";"액션"
238;"철권7 DLC19 「ISLAND PARADISE」 (한국어판)";"격투"
239;"철권7 DLC19 「ISLAND PARADISE」 (한국어판)";"액션"
240;"철권 7 - 엘리자 (한국어판)";"격투"
241;"철권 7 - 엘리자 (한국어판)";"액션"
242;"철권 7 - 엘리자 (한국어판)";"격투"
243;"인간력 강화 팩 (한국어판)";"롤플레잉 게임"
244;"블리치 재팬 변장 세트 (한국어판)";"롤플레잉 게임"
245;"프리미엄 아이템 세트 (한국어판)";"유니크"
246;"「악마」「누님 」 세트 (한국어판)";"롤플레잉 게임"
247;"더블 히로인 추가 의상 세트 (한국어판)";"롤플레잉 게임"
248;"수완 있는 직원 컴플리트 세트 (한국어판)";"롤플레잉 게임"
249;"전직 지원 팩 1 (한국어판)";"롤플레잉 게임"
250;"전직 지원 팩 2 (한국어판)";"롤플레잉 게임"
251;"가라오케 음원＆CD 컴플리트 세트 (한국어판)";"롤플레잉 게임"
252;"인형탈 머리 전원 분량＆방어구 세트 (한국어판)";"롤플레잉 게임"
253;"레벨 강화 팩 (한국어판)";"롤플레잉 게임"
254;"본업 지원 팩 (한국어판)";"롤플레잉 게임"
255;"소재 종합 팩(송) (한국어판)";"롤플레잉 게임"
256;"소재 종합 팩(죽) (한국어판)";"롤플레잉 게임"
257;"소재 종합 팩(매) (한국어판)";"롤플레잉 게임"
258;"간편하게 육성! 프리미엄 성장 부스터 세트 (한국어판)";"롤플레잉 게임"
259;"배틀 지원 팩 (한국어판)";"롤플레잉 게임"
260;"시리즈 역대 캐릭터 의상 세트 (한국어판)";"롤플레잉 게임"
261;"프리미엄 성장 부스터 세트 (한국어판)";"유니크"
262;"「악마」「누님」 세트 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"유니크"
263;"가라오케 CD 컴플리트 세트 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"유니크"
264;"전설의 코스튬 세트 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"유니크"
265;"수완 있는 직원 컴플리트 세트 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"유니크"
266;"프리미엄 의상 세트 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"유니크"
267;"드래곤볼 파이터즈 - 오지터(SSGSS) (한국어판)";"격투"
268;"드래곤볼 파이터즈 - 오지터(SSGSS) (한국어판)";"격투"
269;"드래곤볼 파이터즈 - 손오공 (한국어판)";"격투"
270;"드래곤볼 파이터즈 - 손오공 (한국어판)";"격투"
271;"드래곤볼 파이터즈 – 손오공(GT) (한국어판)";"격투"
272;"드래곤볼 파이터즈 – 손오공(GT) (한국어판)";"격투"
273;"드래곤볼 파이터즈 - 손오공(무의식의 극의) (한국어판)";"격투"
274;"드래곤볼 파이터즈 - 손오공(무의식의 극의) (한국어판)";"격투"
275;"드래곤볼 파이터즈 – 쟈넨바 (한국어판)";"격투"
276;"드래곤볼 파이터즈 – 쟈넨바 (한국어판)";"격투"
277;"드래곤볼 파이터즈 - 지렌 (한국어판)";"격투"
278;"드래곤볼 파이터즈 - 지렌 (한국어판)";"격투"
